epochs,k,lr,reg,train_rmse,val_rmse
10,10,0.005,0.005,0.8674464862397352,0.8972056011508232
10,20,0.01,0.05,0.8697656704732565,0.8972191775679008
10,50,0.01,0.005,0.8681970610336676,0.897307852379258
10,10,0.005,0.05,0.8684086829278349,0.8973084666146218
10,10,0.01,0.02,0.8696673686381977,0.8973162274924509
10,20,0.01,0.02,0.8693381088812487,0.8973552797613545
20,10,0.005,0.005,0.865884912060251,0.8973652010756776
10,20,0.005,0.05,0.8683306054658693,0.897463050734342
20,20,0.005,0.02,0.865511945823382,0.8975518215124252
20,20,0.005,0.005,0.8653832812466101,0.8976401309216404
10,10,0.01,0.005,0.8694395969736466,0.8977520405701177
20,10,0.001,0.005,0.8803357310315314,0.9055115578812517
20,20,0.001,0.005,0.8802912400380661,0.905531449653513
20,100,0.001,0.005,0.8800318775160254,0.905532993006961
20,50,0.001,0.005,0.8801961702763251,0.9055386282856479
20,50,0.001,0.02,0.8806812647735512,0.9057831583496827
20,20,0.001,0.02,0.8807602948746035,0.9057919179028001
20,10,0.001,0.02,0.8808009329883472,0.9057935997139004
20,100,0.001,0.02,0.8804871167743369,0.9058117640115588
20,50,0.001,0.05,0.881619040834551,0.9063399358163691
20,10,0.001,0.05,0.8817231532211057,0.9063493492218304
20,20,0.001,0.05,0.8816887709639011,0.9063591934839743
20,100,0.001,0.05,0.8814630651328712,0.9064449122119169
50,20,0.01,0.02,0.5713560789821434,0.9087586757220724
50,100,0.01,0.02,0.3898102890560567,0.9109167561930275
50,10,0.01,0.02,0.657862899300697,0.9152541989383202
50,50,0.01,0.02,0.4568247627265949,0.9173087540013097
10,20,0.001,0.005,0.9125877432887076,0.9276160572002872
10,10,0.001,0.005,0.9125877973407152,0.9276227841515109
10,100,0.001,0.005,0.912434033435003,0.9276626983787539
10,50,0.001,0.005,0.9125418672848978,0.927670786131179
10,50,0.001,0.02,0.9128698842843741,0.9278612120801908
10,100,0.001,0.02,0.9127764463492332,0.9278926674051065
10,10,0.001,0.02,0.9129353561642389,0.9278939761287173
10,20,0.001,0.02,0.9129094967719134,0.9278947235879376
10,10,0.001,0.05,0.9135738350557424,0.9283763317569462
10,100,0.001,0.05,0.9134579024527082,0.928385108167568
10,50,0.001,0.05,0.9135191099156262,0.9283981838312398
10,20,0.001,0.05,0.9135640183927004,0.9284060895348644
50,100,0.01,0.005,0.2935398943525576,0.9314151035068481
50,50,0.01,0.005,0.37091367335228126,0.9417676440118175
50,10,0.01,0.005,0.6472313815056048,0.9483891801053803
50,20,0.01,0.005,0.5239448194717563,0.959613029892912
