"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income, Tax Year 2022 (Filing Year 2023)",,,,,,,,,,,,,,,,,,,,,,,,,,,
(All figures are estimates based on samples—money amounts are in thousands of dollars except as indicated),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Size and accumulated size
of adjusted gross income",All returns,,,,,Taxable returns,,,,,,,,,,,,,,,,,,,,,
,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,Taxable income,,,Income tax after credits,,,Total income tax,,,,,,,,,,,
,,,,,,,,,,"Number of
returns",Amount,"Percent of
total","Number of
returns",Amount,"Percent of
total",Amount,Percent of,,,"Average
total income 
tax (dollars)",,,,,,,
,,,Amount,"Percent
of total","Average
(dollars)",,,Amount,"Percent
of total",,,,,,,,Total,"Taxable
income","Adjusted gross
income less deficit",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$200,000 or more","12,497,065",7.7,"6,740,398,097",45.4,"539,358","12,468,374",11.3,"6,729,313,224",48.0,"12,464,980","6,033,624,795",52.9,"12,444,950","1,424,096,214",67.8,"1,465,055,618",68.5,24.3,21.8,"117,502",,,,,,,
"$100,000 or more","38,384,201",23.8,"10,307,445,668",69.5,"268,534","38,015,763",34.4,"10,254,051,764",73.2,"38,012,330","8,891,799,937",78.0,"37,988,132","1,821,816,660",86.8,"1,862,813,995",87.1,20.9,18.2,"49,001",,,,,,,
"$75,000 or more","53,565,236",33.2,"11,623,065,229",78.4,"216,989","52,565,411",47.5,"11,516,341,640",82.2,"52,561,972","9,837,847,547",86.3,"52,537,473","1,934,895,838",92.2,"1,975,893,415",92.3,20.1,17.2,"37,589",,,,,,,
"$50,000 or more","77,371,033",48.0,"13,089,551,284",88.2,"169,179","73,943,750",66.8,"12,837,641,872",91.6,"73,940,305","10,764,181,318",94.4,"73,915,508","2,034,999,404",97.0,"2,075,997,013",97.0,19.3,16.2,"28,075",,,,,,,
"$40,000 or more","90,626,096",56.2,"13,683,506,780",92.2,"150,989","84,624,093",76.5,"13,317,164,824",95.0,"84,620,535","11,068,507,749",97.1,"84,595,851","2,065,307,743",98.4,"2,106,306,356",98.4,19.0,15.8,"24,890",,,,,,,
"$30,000 or more","106,397,657",65.9,"14,233,996,930",96.0,"133,781","95,416,027",86.2,"13,695,003,023",97.7,"95,412,425","11,279,273,284",98.9,"95,387,782","2,086,629,932",99.4,"2,127,628,660",99.4,18.9,15.5,"22,298",,,,,,,
"$25,000 or more","114,402,946",70.9,"14,453,955,013",97.4,"126,343","100,218,015",90.6,"13,827,250,841",98.7,"100,214,304","11,343,440,552",99.5,"100,189,770","2,093,006,335",99.7,"2,134,005,062",99.7,18.8,15.4,"21,294",,,,,,,
"$20,000 or more","122,438,223",75.9,"14,634,266,094",98.7,"119,524","104,611,903",94.6,"13,926,038,077",99.4,"104,607,129","11,383,379,751",99.8,"104,583,658","2,096,810,354",99.9,"2,137,809,081",99.9,18.8,15.4,"20,436",,,,,,,
"$15,000 or more","131,496,605",81.5,"14,792,004,787",99.7,"112,490","109,041,347",98.6,"14,003,421,409",99.9,"109,036,562","11,401,927,763",100.0,"109,013,100","2,098,546,264",100.0,"2,139,545,318",100.0,18.8,15.3,"19,621",,,,,,,
"$10,000 or more","141,138,927",87.5,"14,912,507,612",100.5,"105,658","110,411,702",99.8,"14,022,534,074",100.1,"110,406,768","11,403,779,761",100.0,"110,383,455","2,098,734,442",100.0,"2,139,733,496",100.0,18.8,15.3,"19,380",,,,,,,
